Company Name,Startup Link,Location,Description
Swarm,https://www.swarmvrgame.com,,The Epic Arcade Shooter Built for VR.swarmvrgame.com
Teleporter,https://teleporter.gg,"Istanbul, Turkey","Social VR World of GamersIstanbul, Turkeyteleporter.gg"
theConstruct,http://theconstruct.io/,"Amsterdam, Netherlands","Design Review Platform in VR.Amsterdam, Netherlandstheconstruct.io"
Throwback Studios,/portcos-1/6htwbjxqtsc30vpqhtunxnppyoopg8,"Bend, OR","Creating Nostalgic VR Games.Bend, ORthrowback.studio"
Tribe,https://www.tribexr.com/,"San Mateo, CA","The Immersive Training Platform for Practical Skills.San Mateo, CAtribexr.com"
Vantage Point,https://www.tryvantagepoint.com/,"San Francisco, CA","Sexual  Harassment Training in Virtual Reality.San Francisco, CAtryvantagepoint.com"
Virti,http://virti.com/,England,Immersive Education for Healthcare and Beyond.Englandvirti.com
Virtual Athletics League,https://www.valvr.com/,"Salt Lake City, UT","The VR Esports League.Salt Lake City, UTvalvr.com"
VirtualSpeech,https://virtualspeech.com/,"London, England","VR Soft Skills Training PlatformLondon, Englandvirtualspeech.com"
Virtuleap,https://virtuleap.com,"Lisbon, Portugal","Brain training in VR.Lisbon, Portugalvirtuleap.com"
Wave,http://thewavevr.com/,"Los Angeles, CA","World's Most Interactive Virtual Concerts.Los Angeles, CAwavexr.com"
YUR,https://yur.fit,"San Francisco, CA","We make games a workout.San Francisco, CAyur.fit"
7shifts,https://www.7shifts.com/,"Saskatoon, Canada","Employee Scheduling Software for Restaurants.Saskatoon, Canada7shifts.com"
Arc Studio,https://arcstudiopro.com,"Berlin, Germany","Screenwriting Software Redefined.Berlin, Germanyarcstudiopro.com"
Arnie,https://arnie.co,"San Francisco, CA","401k's Built like Brokerage Accounts.San Francisco, CAarnie.co"
AskEdith,https://www.askedith.ai,", CA","Empowering Traditional Business to Become Data-Driven.Cupertino, CAaskedith.ai"
BackTrack,https://usebacktrack.com,,"Time Machine for Mac to Give You Perfect Memory.Jacksonville, FL usebacktrack.com"
Bleximo,http://bleximo.com/,"Berkeley, CA","Building �Quantum Accelerators,� Special-Purpose Quantum Computation Systems.Berkeley, CAbleximo.com"
Boasty,https://www.boasty.gg,"Waterloo, Canada","Voice Chat Designed for Mobile Gaming.Waterloo, Canadaboasty.gg"
Boom,https://boom.tv,"San Mateo, CA","Helping Streamers Grow, Monetize & Engage with Their Viewers.San Mateo, CAboom.tv"
Checkbook,https://checkbook.io/,"Sunnyvale, CA","No More Paper, Just Send Digital Checks.Sunnyvale, CAcheckbook.io"
Cobalt,https://cobalt.io/,"San Francisco, CA","Crowdsourced Pen Testing for Modern SaaS Businesses.San Francisco, CAcobalt.io"
